买入日期,卖出日期,持仓股票,选股结果,选股日期,持仓涨跌,同期指数涨跌,资金曲线,ma_5,signal,pos
2012-07-23,2012-07-27,楚天高速(sh600035) 空港股份(sh600463) 南京熊猫(sh600775) 广聚能源(sz000096) 天兴仪表(sz000710) 钱江摩托(sz000913) 大庆华科(sz000985) 南京港(sz002040) 金智科技(sz002090) 浔兴股份(sz002098) 泰尔重工(sz002347) 胜利精密(sz002426) 天汽模(sz002510) 金利华电(sz300069) 科斯伍德(sz300192),空港股份(sh600463) 江西长运(sh600561) 广聚能源(sz000096) 宜华地产(sz000150) 天兴仪表(sz000710) 数源科技(sz000909) 钱江摩托(sz000913) 河北宣工(sz000923) 大庆华科(sz000985) 浔兴股份(sz002098) 江苏通润(sz002150) 特尔佳(sz002213) 奥普光电(sz002338) 泰尔重工(sz002347) 天汽模(sz002510) 康耐特(sz300061) 达刚路机(sz300103) 青松股份(sz300132) 科斯伍德(sz300192) 科大智能(sz300222),2012-07-20,-0.00923997059460857,-0.02057570274259324,28.84428591742446,29.441839674505264,,0.0
2012-07-30,2012-08-03,空港股份(sh600463) 江西长运(sh600561) 广聚能源(sz000096) 宜华地产(sz000150) 天兴仪表(sz000710) 数源科技(sz000909) 钱江摩托(sz000913) 河北宣工(sz000923) 大庆华科(sz000985) 浔兴股份(sz002098) 江苏通润(sz002150) 特尔佳(sz002213) 奥普光电(sz002338) 泰尔重工(sz002347) 天汽模(sz002510) 康耐特(sz300061) 达刚路机(sz300103) 青松股份(sz300132) 科斯伍德(sz300192) 科大智能(sz300222),林海股份(sh600099) 空港股份(sh600463) 龙江交通(sh601188) 宜华地产(sz000150) 新华制药(sz000756) 数源科技(sz000909) 大庆华科(sz000985) 浔兴股份(sz002098) 特尔佳(sz002213) 奥普光电(sz002338) 泰尔重工(sz002347) 天汽模(sz002510) 宝馨科技(sz002514) 康耐特(sz300061) 天龙集团(sz300063) 中航电测(sz300114) 青松股份(sz300132) 科斯伍德(sz300192) 佳士科技(sz300193) 高盟新材(sz300200) 美晨科技(sz300237),2012-07-27,-0.031612584168219326,0.0019709592143408727,27.932443501087697,28.9978074506427,,0.0
2012-08-06,2012-08-10,林海股份(sh600099) 空港股份(sh600463) 龙江交通(sh601188) 宜华地产(sz000150) 新华制药(sz000756) 数源科技(sz000909) 大庆华科(sz000985) 浔兴股份(sz002098) 特尔佳(sz002213) 奥普光电(sz002338) 泰尔重工(sz002347) 天汽模(sz002510) 宝馨科技(sz002514) 康耐特(sz300061) 天龙集团(sz300063) 中航电测(sz300114) 青松股份(sz300132) 科斯伍德(sz300192) 佳士科技(sz300193) 高盟新材(sz300200) 美晨科技(sz300237),林海股份(sh600099) 道博股份(sh600136) 宝光股份(sh600379) 大西洋(sh600558) 万方地产(sz000638) 大庆华科(sz000985) 赛象科技(sz002337) 泰尔重工(sz002347) 双环传动(sz002472) 天汽模(sz002510) 群兴玩具(sz002575) 康耐特(sz300061) 天龙集团(sz300063) 金利华电(sz300069) 智云股份(sz300097) 中航电测(sz300114) 昌红科技(sz300151) 佳讯飞鸿(sz300213) 上海新阳(sz300236) 美晨科技(sz300237),2012-08-03,0.06645958793289508,0.01954761358518775,29.788822186128858,29.015065179697352,1.0,0.0
2012-08-13,2012-08-17,林海股份(sh600099) 道博股份(sh600136) 宝光股份(sh600379) 大西洋(sh600558) 万方地产(sz000638) 大庆华科(sz000985) 赛象科技(sz002337) 泰尔重工(sz002347) 双环传动(sz002472) 天汽模(sz002510) 群兴玩具(sz002575) 康耐特(sz300061) 天龙集团(sz300063) 金利华电(sz300069) 智云股份(sz300097) 中航电测(sz300114) 昌红科技(sz300151) 佳讯飞鸿(sz300213) 上海新阳(sz300236) 美晨科技(sz300237),皖通高速(sh600012) 宝光股份(sh600379) 万方地产(sz000638) 嘉应制药(sz002198) 长江润发(sz002435) 双环传动(sz002472) 天汽模(sz002510) 群兴玩具(sz002575) 康耐特(sz300061) 天龙集团(sz300063) 智云股份(sz300097) 昌红科技(sz300151) 佳讯飞鸿(sz300213) 上海新阳(sz300236) 美晨科技(sz300237),2012-08-10,-0.007195138879581342,-0.03594957808105015,29.574487473440506,29.05066619127472,,1.0
2012-08-20,2012-08-24,皖通高速(sh600012) 宝光股份(sh600379) 万方地产(sz000638) 嘉应制药(sz002198) 长江润发(sz002435) 双环传动(sz002472) 天汽模(sz002510) 群兴玩具(sz002575) 康耐特(sz300061) 天龙集团(sz300063) 智云股份(sz300097) 昌红科技(sz300151) 佳讯飞鸿(sz300213) 上海新阳(sz300236) 美晨科技(sz300237),中国国贸(sh600007) 皖通高速(sh600012) 道博股份(sh600136) 宝光股份(sh600379) 外高桥(sh600648) 新南洋(sh600661) 南京熊猫(sh600775) 京能置业(sh600791) 柳钢股份(sh601003) 深南电Ａ(sz000037) 万方地产(sz000638) 银亿股份(sz000981) 南京港(sz002040) 广博股份(sz002103) 嘉应制药(sz002198) 长江润发(sz002435) 双环传动(sz002472) 佳讯飞鸿(sz300213),2012-08-17,0.02689259503713504,-0.016339021733492443,30.369822188494563,29.301972253315206,,1.0
2012-08-27,2012-08-31,中国国贸(sh600007) 皖通高速(sh600012) 道博股份(sh600136) 宝光股份(sh600379) 外高桥(sh600648) 新南洋(sh600661) 南京熊猫(sh600775) 京能置业(sh600791) 柳钢股份(sh601003) 深南电Ａ(sz000037) 万方地产(sz000638) 银亿股份(sz000981) 南京港(sz002040) 广博股份(sz002103) 嘉应制药(sz002198) 长江润发(sz002435) 双环传动(sz002472) 佳讯飞鸿(sz300213),中国国贸(sh600007) 皖通高速(sh600012) 中原高速(sh600020) 道博股份(sh600136) 亚星客车(sh600213) 宝光股份(sh600379) 大连圣亚(sh600593) 外高桥(sh600648) 京能置业(sh600791) 柳钢股份(sh601003) 深南电Ａ(sz000037) 万方地产(sz000638) 天兴仪表(sz000710) 京山轻机(sz000821) 南京港(sz002040) 广博股份(sz002103) 嘉应制药(sz002198) 雪人股份(sz002639) 梅泰诺(sz300038) 康耐特(sz300061) 金利华电(sz300069) 建新股份(sz300107),2012-08-24,0.0025431618541194023,-0.03111597412641487,30.447057561800733,29.62252658219046,,1.0
2012-09-03,2012-09-07,中国国贸(sh600007) 皖通高速(sh600012) 中原高速(sh600020) 道博股份(sh600136) 亚星客车(sh600213) 宝光股份(sh600379) 大连圣亚(sh600593) 外高桥(sh600648) 京能置业(sh600791) 柳钢股份(sh601003) 深南电Ａ(sz000037) 万方地产(sz000638) 天兴仪表(sz000710) 京山轻机(sz000821) 南京港(sz002040) 广博股份(sz002103) 嘉应制药(sz002198) 雪人股份(sz002639) 梅泰诺(sz300038) 康耐特(sz300061) 金利华电(sz300069) 建新股份(sz300107),中国国贸(sh600007) 中江地产(sh600053) 亚星客车(sh600213) 民丰特纸(sh600235) 外高桥(sh600648) 深南电Ａ(sz000037) 宜华地产(sz000150) 绿景控股(sz000502) 万方地产(sz000638) 荣丰控股(sz000668) 本钢板材(sz000761) 大庆华科(sz000985) 广陆数测(sz002175) 嘉应制药(sz002198) 群兴玩具(sz002575) 坚瑞消防(sz300116) 上海新阳(sz300236),2012-08-31,0.05436753071123057,0.050937243465601016,32.10238889885854,30.45651566174463,,1.0
2012-09-10,2012-09-14,中国国贸(sh600007) 中江地产(sh600053) 亚星客车(sh600213) 民丰特纸(sh600235) 外高桥(sh600648) 深南电Ａ(sz000037) 宜华地产(sz000150) 绿景控股(sz000502) 万方地产(sz000638) 荣丰控股(sz000668) 本钢板材(sz000761) 大庆华科(sz000985) 广陆数测(sz002175) 嘉应制药(sz002198) 群兴玩具(sz002575) 坚瑞消防(sz300116) 上海新阳(sz300236),中国国贸(sh600007) 中江地产(sh600053) 民丰特纸(sh600235) 外高桥(sh600648) 华电能源(sh600726) 荣丰控股(sz000668) 长源电力(sz000966) 广陆数测(sz002175) 合兴包装(sz002228) 科冕木业(sz002354) 群兴玩具(sz002575) 坚瑞消防(sz300116) 上海新阳(sz300236) 金明精机(sz300281),2012-09-07,0.0024380577434324198,-0.0007077568423685676,32.180656376696085,30.93488249985807,,1.0
2012-09-17,2012-09-21,中国国贸(sh600007) 中江地产(sh600053) 民丰特纸(sh600235) 外高桥(sh600648) 华电能源(sh600726) 荣丰控股(sz000668) 长源电力(sz000966) 广陆数测(sz002175) 合兴包装(sz002228) 科冕木业(sz002354) 群兴玩具(sz002575) 坚瑞消防(sz300116) 上海新阳(sz300236) 金明精机(sz300281),中国国贸(sh600007) 中江地产(sh600053) 外高桥(sh600648) 交运股份(sh600676) 华电能源(sh600726) 深南电Ａ(sz000037) 友利控股(sz000584) 荣丰控股(sz000668) 长源电力(sz000966) 广博股份(sz002103) 广陆数测(sz002175) 科冕木业(sz002354) 群兴玩具(sz002575) 上海新阳(sz300236) 金明精机(sz300281),2012-09-14,-0.04479893737050067,-0.05030360088791352,30.738997167134873,31.167784438596943,0.0,1.0
2012-09-24,2012-09-28,中国国贸(sh600007) 中江地产(sh600053) 外高桥(sh600648) 交运股份(sh600676) 华电能源(sh600726) 深南电Ａ(sz000037) 友利控股(sz000584) 荣丰控股(sz000668) 长源电力(sz000966) 广博股份(sz002103) 广陆数测(sz002175) 科冕木业(sz002354) 群兴玩具(sz002575) 上海新阳(sz300236) 金明精机(sz300281),中江地产(sh600053) 三房巷(sh600370) 大连圣亚(sh600593) 外高桥(sh600648) 新南洋(sh600661) 交运股份(sh600676) 华电能源(sh600726) 金陵饭店(sh601007) 龙江交通(sh601188) 宜华地产(sz000150) 友利控股(sz000584) 荣丰控股(sz000668) 长源电力(sz000966) 大庆华科(sz000985) 广博股份(sz002103) 广陆数测(sz002175) 科冕木业(sz002354) 齐星铁塔(sz002359) 科远股份(sz002380) 群兴玩具(sz002575) 上海新阳(sz300236) 金明精机(sz300281),2012-09-21,0.014222631493301384,0.04276827371695191,31.17618659631667,31.329057320161365,,0.0
