交易日期,买入股票代码,买入股票名称,选股下周期涨跌幅,资金曲线,资金曲线对数,ma_5,signal,pos,实际下周期涨跌,实际资金曲线
2022-01-28,sh603389 sh603790 sz002868 ,亚振家居 雅运股份 绿康生化 ,0.044315358471942456,1.0443153584719425,0.01883166510590153,,1,1.0,0.044315358471942456,1.0443153584719425
2022-02-28,sh603499 sh603709 sz002868 ,翔港科技 中源家居 绿康生化 ,0.02945323904575714,1.075073828364172,0.0314382895076293,,1,1.0,0.02945323904575714,1.075073828364172
2022-03-31,sh688081 sz002290 sz300321 ,兴图新科 禾盛新材 同大股份 ,-0.16007339145943777,0.9029831145886376,-0.044320370738037095,,1,1.0,-0.16007339145943777,0.9029831145886376
2022-04-29,sh600234 sh688178 sz300321 ,科新发展 万德斯 同大股份 ,0.08213702491880981,0.977151461172869,-0.010038114220436574,,1,1.0,0.08213702491880981,0.977151461172869
2022-05-31,sh603880 sz300417 sz300717 ,南卫股份 南华仪器 华信新材 ,0.043084767569839366,1.019251804758031,0.00828148911684593,1.0037551134711304,1,1.0,0.043084767569839366,1.019251804758031
2022-06-30,sh688081 sz300417 sz300789 ,兴图新科 南华仪器 唐源电气 ,0.06289934122082386,1.0833620718154469,0.03477362699643347,1.0115644561398311,1,1.0,0.06289934122082386,1.0833620718154469
2022-07-29,sh603326 sh603958 sz300717 ,我乐家居 哈森股份 华信新材 ,0.04151903561318271,1.1283422202571238,0.05244083885697857,1.0222181345184214,1,1.0,0.04151903561318271,1.1283422202571238
2022-08-31,sh603499 sh688021 sh688310 ,翔港科技 奥福环保 迈得医疗 ,-0.13507175678169536,0.9759350543160354,-0.010579082426185025,1.036808522463901,0,1.0,-0.0,1.1283422202571238
2022-09-30,sh688051 sh688081 sh688528 ,佳华科技 兴图新科 秦川物联 ,0.10671971849562478,1.080086568582655,0.03345856544162487,1.0573955439458582,1,0.0,0.10671971849562478,1.2487585843696924
2022-10-31,sh688178 sh688466 sh688528 ,万德斯 金科环境 秦川物联 ,0.06960884575488846,1.155270147937052,0.06268355136220474,1.0845992125816626,1,1.0,0.06960884575488846,1.3356832280541753
2022-11-30,sh688051 sh688159 sz300270 ,佳华科技 有方科技 中威电子 ,0.038940364060232824,1.2002567880856398,0.0792741708126674,1.1079781558357011,1,1.0,0.038940364060232824,1.387695219223752
2022-12-30,sh603813 sh688159 sh688288 ,原尚股份 有方科技 鸿泉物联 ,0.09816306535499875,1.3180776736172715,0.11994100375526758,1.1459252465077308,1,1.0,0.09816306535499875,1.5239156357212325
2023-01-31,sh688004 sh688013 sh688215 ,博汇科技 天臣医疗 瑞晟智能 ,0.1102907806503084,1.4634494891982628,0.16537773740114955,1.2434281334841764,1,1.0,0.1102907806503084,1.6919894808301381
2023-02-28,sh603499 sh688090 sh688159 ,翔港科技 瑞松科技 有方科技 ,0.05922620469827877,1.5501240482111107,0.19036645384636527,1.3374356294098675,1,1.0,0.05922620469827877,1.7921995961691184
